settlementdate,regionid,rrp,spike_driver_classification,classification_confidence,decision_confidence,market_situation,insight,recommendation,risk,totaldemand,availablegeneration,supply_demand_gap,price_change,rolling_rrp_volatility_1h,active_constraint_count,max_constraint_marginal_value,congestion_signal_count,vic_nsw_congestion_signal_flag,absolute_price_spread,divergence_flag,extreme_divergence_flag
2026-02-05 18:25:00,NSW1,1278.88,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11730.34,13132.46456,1402.1245600000002,1005.2245400000002,3665.3543081062808,20,4.42341,2.0,False,1153.66404,True,True
2026-02-05 15:15:00,NSW1,920.11,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10681.08,15001.80456,4320.724560000001,690.2212400000001,6162.5648189011745,23,7.96,2.0,False,927.36,True,True
2026-02-05 17:45:00,NSW1,918.89,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11824.61,14362.05533,2537.445329999998,619.3499999999999,178.0203089005352,21,14.61,2.0,False,862.39,True,True
2026-02-11 16:05:00,NSW1,686.87481,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11883.34,14782.46636,2899.12636,14.699340000000008,226.16986913708928,27,4.94,1.0,True,676.93123,True,True
2026-02-11 15:55:00,NSW1,680.70136,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11573.15,15235.57843,3662.42843,195.08098,206.2492802252648,26,9.19,3.0,False,662.75136,True,True
2026-02-11 16:00:00,NSW1,672.17547,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11666.71,15058.59127,3391.8812700000017,-8.525890000000004,222.75519455263037,30,7.42,1.0,False,662.48547,True,True
2026-02-11 16:40:00,NSW1,643.27335,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12476.71,14678.52809,2201.8180900000007,13.302050000000008,74.11160842925179,28,37.83458,3.0,False,546.6033500000001,True,True
2026-02-11 16:50:00,NSW1,635.45857,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12585.2,15042.63137,2457.4313699999984,0.4621700000000146,68.70765447898945,28,8.9,1.0,False,552.81857,True,True
2026-02-11 16:45:00,NSW1,634.9964,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12521.8,14876.73947,2354.939470000001,-8.276950000000056,75.36532503275092,25,8.9,2.0,False,524.9364,True,True
2026-02-11 16:35:00,NSW1,629.9713,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12499.87,14889.93866,2390.068659999999,121.51469000000004,107.33612860003606,30,35.23253,2.0,False,547.3313,True,True
2026-02-05 16:15:00,NSW1,600.01,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,12033.13,14758.26994,2725.139940000001,300.26,162.33824711611345,23,4.96,2.0,False,590.49494,True,True
2026-02-05 16:25:00,NSW1,600.01,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12041.37,14512.76499,2471.394989999999,0.0199999999999818,154.80453862776466,27,4.34,2.0,False,580.81,True,True
2026-02-05 16:05:00,NSW1,600.0,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11844.12,14837.45829,2993.3382899999997,0.0299999999999727,215.41185625917925,20,9.84,2.0,False,580.7,True,True
2026-02-11 15:45:00,NSW1,600.0,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11224.61,15566.97596,4342.365959999999,294.54722,157.68550375146185,26,4.68,2.0,True,595.4283,True,True
2026-02-05 16:20:00,NSW1,599.99,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11988.2,14904.03245,2915.83245,-0.0199999999999818,154.80163798457235,26,4.34,1.0,False,591.04,True,True
2026-02-05 15:55:00,NSW1,599.98,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11728.82,15144.64664,3415.826640000001,0.0199999999999818,236.6868526495539,21,4.34,3.0,False,599.98,True,True
2026-02-05 16:00:00,NSW1,599.97,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11775.33,14959.43724,3184.1072399999994,-0.0099999999999909,225.22751065582867,25,3.96,3.0,False,587.26417,True,True
2026-02-05 15:25:00,NSW1,599.97,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10867.67,15122.40877,4254.73877,351.09000000000003,6159.984012704793,23,4.96,2.0,False,604.72,True,True
2026-02-05 15:50:00,NSW1,599.96,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11633.24,15200.47096,3567.230960000001,229.90413,228.50578949219897,24,4.34,1.0,False,601.0600000000001,True,True
2026-02-05 16:30:00,NSW1,599.36,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11944.15,14485.88951,2541.7395100000012,-0.6499999999999773,147.70274656886693,27,4.34,2.0,False,590.41,True,True
2026-02-07 15:10:00,NSW1,588.88,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10518.84,13765.29627,3246.4562700000006,482.04,157.72731683024068,19,9.62,2.0,False,592.41,True,True
2026-02-11 16:10:00,NSW1,558.81108,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11979.45,14933.06568,2953.615679999999,-128.06373000000008,211.6223658429079,26,5.95,1.0,False,520.1210799999999,True,True
2026-02-11 16:15:00,NSW1,535.32813,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,12083.04,14933.85517,2850.81517,-23.48294999999996,188.87496344575536,24,12.16,2.0,False,493.65813,True,True
2026-02-11 16:20:00,NSW1,523.78685,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12158.09,15227.7491,3069.6591000000008,-11.541280000000029,167.86757954694477,25,13.95,0.0,False,450.11684999999994,True,True
2026-02-11 16:25:00,NSW1,514.05842,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12293.28,15420.36984,3127.0898399999987,-9.728430000000005,157.0638326510907,27,24.37858,2.0,False,440.36842,True,True
2026-02-11 16:30:00,NSW1,508.45661,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12432.41,15082.19701,2649.78701,-5.601809999999944,137.28242101772992,28,13.8668,2.0,False,434.78661,True,True
2026-02-11 17:15:00,NSW1,492.13999,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12733.13,14484.6239,1751.4939000000013,297.06342,214.02789588219989,29,5.95,0.0,False,395.46999,True,True
2026-02-11 15:50:00,NSW1,485.62038,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11310.95,15261.76788,3950.8178799999982,-114.37962,171.5734860391037,24,4.95,3.0,True,476.58038,True,True
2026-02-05 14:35:00,NSW1,472.71782,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10061.89,15816.09028,5754.200280000001,-19827.28218,5784.442097849111,22,9.19,2.0,True,492.70782,True,True
2026-02-05 14:25:00,NSW1,457.34258,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10002.96,15678.67973,5675.719730000001,134.01127000000002,106.19008438921246,24,7.16,2.0,True,496.05143,True,True
2026-02-11 17:20:00,NSW1,434.91476,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12727.83,14048.42119,1320.5911899999992,-57.22523000000001,213.15523012391435,26,7.76,1.0,False,352.27476,True,True
2026-02-11 16:55:00,NSW1,422.07139,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12541.85,14783.07719,2241.2271899999996,-213.38718,81.20109617496072,29,8.42,2.0,False,348.40139,True,True
2026-02-11 17:00:00,NSW1,403.47093,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12504.78,14801.92248,2297.1424799999986,-18.60046,90.15885992546804,27,5.32,0.0,False,306.78093,True,True
2026-02-05 14:45:00,NSW1,397.42835,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10156.66,15765.10504,5608.4450400000005,-6983.3798,5943.83357887633,23,4.91,2.0,False,404.18835,True,True
2026-02-05 15:45:00,NSW1,370.05587,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11416.6,15003.54326,3586.94326,70.30587000000003,2564.730784855518,26,4.96,2.0,False,371.1558700000001,True,True
2026-02-05 17:10:00,NSW1,368.06021,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11821.26,14407.81263,2586.55263,68.24020999999999,2559.6104786776177,23,4.34,2.0,False,355.35021,True,True
2026-02-07 14:25:00,NSW1,344.48702,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,9550.01,14368.40177,4818.39177,237.64701999999997,77.51064965908067,20,5.98,2.0,False,298.07973999999996,True,False
2026-02-07 15:55:00,NSW1,335.24238,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10922.22,13884.52013,2962.3001300000014,228.40238,148.46778372543665,18,5.56,2.0,False,238.55238000000003,True,False
2026-02-05 14:20:00,NSW1,323.33131,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,9734.56,15676.10561,5941.545610000001,23.581309999999977,77.8331244165206,22,26.8417,2.0,True,414.52131,True,True
2026-02-11 15:40:00,NSW1,305.45278,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11149.53,15533.90347,4384.373469999999,60.10549000000003,98.33048913278398,30,7.11255,3.0,True,304.26278,True,True
2026-02-05 17:50:00,NSW1,302.64788,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11765.32,14285.5407,2520.2207,-616.24212,177.93746209913425,22,4.95,3.0,False,246.14788,True,False
2026-02-11 18:40:00,NSW1,300.91415,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,12666.88,12309.2071,-357.6728999999996,52.634150000000005,66.08700857362011,21,16.45,0.0,False,217.46415,True,False
2026-02-05 17:35:00,NSW1,300.02,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11731.75,14283.55966,2551.809660000001,0.2699999999999818,61.227286688267505,22,4.9,2.0,False,287.26007999999996,True,False
